CampaignID,UserID,CampaignName,CampaignCost,UsersAcquired,CAC
1,1,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,2,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,3,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,4,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,5,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,6,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,7,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,8,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,9,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,10,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,11,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,12,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,13,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,14,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,15,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,16,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,17,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,18,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,19,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,20,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,21,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,22,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,23,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,24,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,25,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,26,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
1,27,Social Media Blitz: Targeted ads on Instagram and Facebook,25795,408,63.22303921568628
